rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
335,HD 11964,b,HD 11964 b,Radial Velocity,2,1945.00000000,3.160000,0.041000,,0.62200,Msini,,,0,0,0,0,01h57m09.61s,29.290026,-10d14m32.7s,-10.242428,33.57,6.420,V (Johnson),6.204,5349.00,1.12,,2014-05-14,0,1,0,0,0,0,9.41000e+01,2454170.000000,,,,,,0.62200,,198.00000,198.00000,,,,,,,,,,,<a refstr=WRIGHT_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,2005,<a refstr=BUTLER_ET_AL__2006 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,38,28,http://exoplanet.eu/catalog/hd_11964_b/,http://exoplanets.org/detail/HD_11964_b,2006-07,HD 11964,HIP 9094,1.95266838,168.577683,-67.090456,23.376195,-20.771645,29.79,29.79,33.57,-367.000,-242.400,439.800,-367.000,-242.400,439.800,-9.40,4.80,G8 IV,4.03,,,0.122,[Fe/H],,2.7400,0.138,-5.160,,,3,0,1,2,0,3,6,,6.420,7.230,5.960,5.555,5.023,4.637,4.491,4.473,4.230,4.529,4.477,,,,,,,,3.996e+00,3.277e+00,1.184e+00,-9.160e-01,25,,0.820,0.855,0.450,0.386,0.146,0.532,0.509,0.262,0.437,14
336,HD 11964,c,HD 11964 c,Radial Velocity,2,37.91000000,0.229000,0.300000,,0.07880,Msini,,,0,0,0,0,01h57m09.61s,29.290026,-10d14m32.7s,-10.242428,33.57,6.420,V (Johnson),6.204,5349.00,1.12,,2014-05-14,0,1,0,0,0,0,6.82000e+00,2454370.000000,102.0000,,,,,0.07880,,25.00000,25.00000,,,,,,,,,,,<a refstr=WRIGHT_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,2008,<a refstr=WRIGHT_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...693.1084W target=ref> Wright et al. 2009 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,32,28,http://exoplanet.eu/catalog/hd_11964_c/,http://exoplanets.org/detail/HD_11964_c,2009-03,HD 11964,HIP 9094,1.95266838,168.577683,-67.090456,23.376195,-20.771645,29.79,29.79,33.57,-367.000,-242.400,439.800,-367.000,-242.400,439.800,-9.40,4.80,G8 IV,4.03,,,0.122,[Fe/H],,2.7400,0.138,-5.160,,,3,0,1,2,0,3,6,,6.420,7.230,5.960,5.555,5.023,4.637,4.491,4.473,4.230,4.529,4.477,,,,,,,,3.996e+00,3.277e+00,1.184e+00,-9.160e-01,25,,0.820,0.855,0.450,0.386,0.146,0.532,0.509,0.262,0.437,14
337,HD 11977,b,HD 11977 b,Radial Velocity,1,711.00000000,1.930000,0.400000,,6.54000,Msini,,,0,0,0,0,01h54m56.13s,28.733881,-67d38m50.3s,-67.647301,68.05,4.690,V (Johnson),4.371,4970.00,1.91,10.09,2014-05-14,0,1,0,0,0,0,2.84000e+01,2451420.000000,351.5000,,,,,6.54000,,2080.00000,2080.00000,,,,,,,,,,,<a refstr=SETIAWAN_ET_AL__2005 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...437L..31S target=ref> Setiawan et al. 2005 </a>,2005,<a refstr=SETIAWAN_ET_AL__2005 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...437L..31S target=ref> Setiawan et al. 2005 </a>,Ground,La Silla Observatory,Multiple Telescopes,FEROS Spectrograph,3,0,37,21,http://exoplanet.eu/catalog/hd_11977_b/,http://exoplanets.org/detail/HD_11977_b,2005-07,HD 11977,HIP 8928,1.91559207,293.925449,-48.355358,329.028741,-67.112190,14.69,14.69,68.05,75.700,73.600,105.600,75.700,73.600,105.600,-18.01,4.80,G8 III/IV,2.90,,,-0.210,[Fe/H],1.200,2.4000,,,,,1,0,1,0,0,3,0,6.280,4.690,5.640,5.181,3.732,3.162,2.695,2.590,0.883,0.965,2.496,2.416,,,,,,,,1.974e+00,2.032e+00,1.184e+00,-9.160e-01,23,0.640,0.931,0.953,0.496,0.467,0.105,0.572,,,,10
338,HD 120084,b,HD 120084 b,Radial Velocity,1,2082.00000000,4.300000,0.660000,,4.50000,Msini,,,0,0,0,0,13h42m39.20s,205.663345,+78d03m52.0s,78.064438,103.35,5.899,V (Johnson),5.635,4892.00,2.39,9.12,2014-05-14,0,1,0,0,0,0,4.16000e+01,2450774.000000,117.0000,53.000,,,,4.50000,,1430.20000,1430.20000,,,,,,,,,,,<a refstr=SATO_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013PASJ...65...85S target=ref> Sato et al. 2013 </a>,2013,<a refstr=SATO_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013PASJ...65...85S target=ref> Sato et al. 2013 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,23,15,http://exoplanet.eu/catalog/hd_120084_b/,http://exoplanets.org/detail/HD_120084_b,2013-08,HD 120084,HIP 66903,13.71088969,119.563913,38.726981,121.265966,68.951115,9.68,9.68,103.35,-65.100,46.200,79.800,-65.100,46.200,79.800,-8.80,4.70,G7 III,2.71,1.640,,0.090,[Fe/H],,2.4400,,,,,2,0,1,1,0,3,0,,5.899,6.917,,,4.091,3.599,3.572,3.634,3.360,3.622,3.580,,,,,,,,3.178e+00,3.238e+00,1.184e+00,-9.160e-01,17,,1.017,,,0.492,0.027,0.519,,,,5
339,HD 121504,b,HD 121504 b,Radial Velocity,1,63.33000000,0.330000,0.030000,,1.51000,Msini,,,0,0,0,0,13h57m17.24s,209.321823,-56d02m24.2s,-56.040043,41.71,7.517,V (Johnson),7.390,6027.00,1.62,1.07,2018-09-06,0,1,0,0,0,0,7.91000e+00,,,55.800,,,,1.51000,,479.92330,479.92330,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2003,<a refstr=MAYOR_ET_AL__2004 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...415..391M target=ref> Mayor et al. 2004 </a>,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,3,0,41,23,http://exoplanet.eu/catalog/hd_121504_b/,http://exoplanets.org/detail/HD_121504_b,2004-02,HD 121504,HIP 68162,13.95478821,312.085268,5.657071,230.023169,-40.705344,23.98,23.98,41.71,-249.200,-84.800,263.200,-249.200,-84.800,263.200,19.30,4.20,G2 V,4.59,,,0.150,[Fe/H],,2.6000,0.188,,,,2,0,1,1,0,3,1,,7.517,8.119,,,6.557,6.224,6.124,6.143,6.104,6.157,6.083,6.119,6.137,,6.136,6.144e+00,3.641e+00,,,,,,18,,0.602,,,0.333,0.100,0.433,0.380,0.192,0.355,11
340,HD 12484,b,HD 12484 b,Radial Velocity,1,58.83000000,0.297000,0.070000,,2.98000,Msini,,,0,0,0,0,02h02m26.73s,30.611374,+02d48m57.1s,2.815859,51.10,8.170,V (Johnson),8.045,5920.00,1.01,,2016-02-25,0,1,0,0,0,0,5.81000e+00,2456699.000000,-35.0000,155.000,,,,2.98000,,947.13340,947.13340,,,,,,BJD,,,,,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A.145H target=ref>H&eacute;brard et al. 2016</a>,2016,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A.145H target=ref>H&eacute;brard et al. 2016</a>,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,3,0,14,13,http://exoplanet.eu/catalog/hd_12484_b/,,,HD 12484,HIP 9519,2.04075826,155.461457,-55.506210,29.491467,-9.046501,19.61,20.66,48.40,36.400,-10.800,37.900,36.400,-10.800,37.900,4.96,3.80,F8,4.65,,,0.050,[Fe/H],,8.2000,,,,,1,0,1,0,0,3,1,,8.170,8.828,,,7.074,6.782,6.706,6.646,6.650,6.694,6.544,,,,,,,,,,,,14,,0.660,,,0.292,0.076,0.368,,,,6
341,HD 125595,b,HD 125595 b,Radial Velocity,1,9.67370000,0.080000,0.000000,,0.02000,Msini,,,0,0,0,0,14h21m23.18s,215.346603,-40d23m38.2s,-40.393948,28.22,9.030,V (Johnson),8.655,4691.00,0.29,0.74,2018-09-06,0,1,0,0,0,0,2.83000e+00,,,4.800,,,,0.02000,,6.35660,6.35660,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2009,<a refstr=SEGRANSAN_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2011A%26A...535A..54S target=ref> S&eacute;gransan et al. 2011 </a>,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3,0,29,19,http://exoplanet.eu/catalog/hd_125595_b/,http://exoplanets.org/detail/HD_125595_b,2011-11,HD 125595,HIP 70170,14.35644023,320.911149,19.316652,226.821318,-24.790508,35.43,35.43,28.22,-561.600,-68.500,565.800,-561.600,-68.500,565.800,4.48,5.40,K4 V,4.17,,,0.080,[Fe/H],,1.5000,,,,,1,0,1,0,0,3,0,,9.030,10.108,8.359,7.848,7.097,6.608,6.447,6.409,6.465,6.429,6.331,,,,,,,,,,,,20,,1.107,1.152,0.641,0.489,0.161,0.650,,,,10
342,HD 125612,b,HD 125612 b,Radial Velocity,3,557.04000000,1.372000,0.455300,,3.10000,Msini,,,0,0,0,0,14h20m53.51s,215.222977,-17d28m53.5s,-17.481522,57.72,8.310,V (Johnson),8.156,5841.00,1.11,1.05,2018-09-27,0,1,0,0,0,0,2.38000e+01,2463221.800000,42.0000,80.460,,,,3.10000,,985.27300,985.27300,,,,,,JD,,,,,<a refstr=MENT_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180901228M target=ref>Ment et al. 2018</a>,2007,<a refstr=FISCHER_ET_AL__2007 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...669.1336F target=ref> Fischer et al. 2007 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,58,20,http://exoplanet.eu/catalog/hd_125612_b/,http://exoplanets.org/detail/HD_125612_b,2007-11,HD 125612,HIP 70123,14.34819845,331.389895,40.395578,218.698859,-3.255242,17.33,17.33,57.72,-60.300,-67.400,90.400,-60.300,-67.400,90.400,-18.40,4.30,G3 V,,0.060,,0.220,[Fe/H],1.770,2.1000,,,,,2,0,1,1,0,3,2,,8.310,8.930,,,7.179,6.950,6.838,6.809,6.820,6.835,6.817,,,,,,,,,,,,15,,0.628,,,0.229,0.112,0.341,0.403,0.208,0.387,13
343,HD 125612,c,HD 125612 c,Radial Velocity,3,4.15514000,0.052400,0.049000,,0.05500,Msini,,,0,0,0,0,14h20m53.51s,215.222977,-17d28m53.5s,-17.481522,57.72,8.310,V (Johnson),8.156,5841.00,1.11,1.05,2018-09-27,0,1,0,0,0,0,9.08000e-01,2463057.600000,123.0000,6.460,,,,0.05500,,17.48065,17.48065,,,,,,JD,,,,,<a refstr=MENT_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180901228M target=ref>Ment et al. 2018</a>,2009,<a refstr=LO_CURTO_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010A%26A...512A..48L target=ref> Lo Curto et al. 2010 </a>,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3,0,45,20,http://exoplanet.eu/catalog/hd_125612_c/,http://exoplanets.org/detail/HD_125612_c,2010-03,HD 125612,HIP 70123,14.34819845,331.389895,40.395578,218.698859,-3.255242,17.33,17.33,57.72,-60.300,-67.400,90.400,-60.300,-67.400,90.400,-18.40,4.30,G3 V,,0.060,,0.220,[Fe/H],1.770,2.1000,,,,,2,0,1,1,0,3,2,,8.310,8.930,,,7.179,6.950,6.838,6.809,6.820,6.835,6.817,,,,,,,,,,,,15,,0.628,,,0.229,0.112,0.341,0.403,0.208,0.387,13
344,HD 125612,d,HD 125612 d,Radial Velocity,3,2835.00000000,4.060000,0.117200,,7.28000,Msini,,,0,0,0,0,14h20m53.51s,215.222977,-17d28m53.5s,-17.481522,57.72,8.310,V (Johnson),8.156,5841.00,1.11,1.05,2018-09-27,0,1,0,0,0,0,7.03000e+01,2464508.000000,313.2000,98.370,,,,7.28000,,2313.80240,2313.80240,,,,,,JD,,,,,<a refstr=MENT_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180901228M target=ref>Ment et al. 2018</a>,2009,<a refstr=LO_CURTO_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010A%26A...512A..48L target=ref> Lo Curto et al. 2010 </a>,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3,0,45,20,http://exoplanet.eu/catalog/hd_125612_d/,,2010-03,HD 125612,HIP 70123,14.34819845,331.389895,40.395578,218.698859,-3.255242,17.33,17.33,57.72,-60.300,-67.400,90.400,-60.300,-67.400,90.400,-18.40,4.30,G3 V,,0.060,,0.220,[Fe/H],1.770,2.1000,,,,,2,0,1,1,0,3,2,,8.310,8.930,,,7.179,6.950,6.838,6.809,6.820,6.835,6.817,,,,,,,,,,,,15,,0.628,,,0.229,0.112,0.341,0.403,0.208,0.387,13
345,HD 12648,b,HD 12648 b,Radial Velocity,1,133.60001000,0.540000,0.040000,,1.96000,Msini,,,0,0,0,0,02h18m59.68s,34.748653,+85d44m10.1s,85.736153,158.40,6.980,V (Johnson),6.718,4835.00,0.67,11.02,2018-09-06,0,1,0,0,0,0,3.41000e+00,,,102.000,,,,1.96000,,622.94680,622.94680,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2015,<a refstr=LEE_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...584A..79L target=ref>Lee et al. 2015</a>,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,3,0,26,13,http://exoplanet.eu/catalog/hd_12648_b/,,,HD 12648,HIP 10800,2.31657689,124.659570,23.161463,82.015930,63.907594,6.29,5.46,183.15,-9.700,86.800,87.300,-9.700,86.800,87.300,-12.30,4.50,G5,2.18,,,-0.570,[Fe/H],,4.8000,,,,,1,0,1,0,0,3,0,,6.980,7.897,,,5.302,4.820,4.743,,,,,,,,,,,,4.251e+00,3.575e+00,1.184e+00,-9.160e-01,14,,0.904,,,0.482,0.077,0.559,0.574,0.261,0.436,9
346,HD 12661,b,HD 12661 b,Radial Velocity,2,262.70862000,0.840000,0.380000,,2.43000,Msini,,,0,0,0,0,02h04m34.29s,31.142866,+25d24m51.5s,25.414305,37.89,7.425,V (Johnson),7.247,5645.00,1.20,1.20,2018-09-06,0,1,0,0,0,0,2.22000e+01,,,73.600,,,,2.43000,,772.32690,772.32690,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2000,<a refstr=FISCHER_ET_AL__2001 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2001ApJ...551.1107F target=ref> Fischer et al. 2001 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,64,23,http://exoplanet.eu/catalog/hd_12661_b/,http://exoplanets.org/detail/HD_12661_b,2001-04,HD 12661,HIP 9683,2.07619108,143.063016,-34.582301,37.783654,12.001375,26.39,26.39,37.89,-108.200,-173.300,204.300,-108.200,-173.300,204.300,-47.30,5.00,K0,4.36,,,0.360,[Fe/H],,1.3000,0.150,-5.080,,,9,0,1,8,0,3,3,,7.425,8.156,,,6.182,5.896,5.861,5.794,5.732,5.846,5.783,,,,,,,,,,,,13,,0.731,,,0.286,0.035,0.321,,,,5
347,HD 12661,c,HD 12661 c,Radial Velocity,2,1708.00000000,2.814500,0.031000,,1.81200,Msini,,,0,0,0,0,02h04m34.29s,31.142866,+25d24m51.5s,25.414305,37.89,7.425,V (Johnson),7.247,5645.00,1.20,1.20,2014-11-19,0,1,0,0,0,0,7.43000e+01,,,30.410,,,,1.81200,,575.88400,575.88400,,,,,,,,,,,<a refstr=LIU_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014RAA....14.1447L target=ref>Liu et al. 2014</a>,2002,<a refstr=FISCHER_ET_AL__2003 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...586.1394F target=ref> Fischer et al. 2003 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,52,23,http://exoplanet.eu/catalog/hd_12661_c/,http://exoplanets.org/detail/HD_12661_c,2003-04,HD 12661,HIP 9683,2.07619108,143.063016,-34.582301,37.783654,12.001375,26.39,26.39,37.89,-108.200,-173.300,204.300,-108.200,-173.300,204.300,-47.30,5.00,K0,4.36,,,0.360,[Fe/H],,1.3000,0.150,-5.080,,,9,0,1,8,0,3,3,,7.425,8.156,,,6.182,5.896,5.861,5.794,5.732,5.846,5.783,,,,,,,,,,,,13,,0.731,,,0.286,0.035,0.321,,,,5
348,HD 126614,b,HD 126614 b,Radial Velocity,1,1244.00000000,2.370000,0.410000,,0.41000,Msini,,,0,0,0,0,14h26m48.28s,216.701172,-05d10m40.0s,-5.177780,73.25,8.788,V (Johnson),8.619,5568.00,1.26,1.32,2018-09-06,0,1,0,0,0,0,3.24000e+01,,,7.300,,,,0.41000,,130.31030,130.31030,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2009,<a refstr=HOWARD_ET_AL__2010 href=http://adsabs.harvard.edu/abs/2010ApJ...721.1467H target=ref> Howard et al. 2010 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,34,20,http://exoplanet.eu/catalog/hd_126614_b/,http://exoplanets.org/detail/HD_126614_A_b,2010-10,HD 126614,HIP 70623,14.44674479,342.012778,50.315234,216.086677,8.856408,13.65,13.65,73.25,-149.900,-145.900,209.200,-149.900,-145.900,209.200,-33.10,4.80,G8 IV,4.30,,,0.540,[Fe/H],,1.5000,0.142,-5.140,,,1,0,1,0,0,3,1,,8.788,9.662,,,7.470,7.160,7.060,6.894,7.053,7.025,7.073,,,,,,,,,,,,13,,0.874,,,0.310,0.100,0.410,,,,5
349,HD 128311,b,HD 128311 b,Radial Velocity,2,453.01900000,1.084000,0.303000,30.000,1.76900,Msini,,,0,0,0,1,14h36m00.56s,219.002335,+09d44m47.5s,9.746518,16.52,7.510,V (Johnson),7.167,,0.83,0.76,2015-06-25,0,1,0,0,0,0,6.56000e+01,2450198.691000,57.8640,55.627,,,,1.76900,,562.24127,562.24127,,,,,,JD,,,,,<a refstr=MCARTHUR_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795...41M target=ref>McArthur et al. 2014</a>,2002,<a refstr=BUTLER_ET_AL__2003 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...582..455B target=ref> Butler et al. 2003 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,80,33,http://exoplanet.eu/catalog/hd_128311_b/,http://exoplanets.org/detail/HD_128311_b,2003-01,HD 128311,HIP 71395,14.60015564,2.729702,59.837362,213.228910,23.706316,60.53,61.21,16.34,204.400,-250.400,323.200,204.400,-250.400,323.200,-9.60,5.00,K0 V,4.61,,,,,0.960,3.6500,0.700,,28.520,,4,0,1,3,0,4,3,,7.510,8.550,6.880,6.711,5.772,5.303,5.142,5.182,5.026,5.179,5.130,,,,,5.193e+00,3.922e+00,,4.515e+00,3.469e+00,1.184e+00,-9.160e-01,28,,0.940,,,0.469,0.161,0.630,,,,7
350,HD 128311,c,HD 128311 c,Radial Velocity,2,921.53800000,1.740000,0.159000,55.950,3.78900,Mass,,,0,0,0,1,14h36m00.56s,219.002335,+09d44m47.5s,9.746518,16.52,7.510,V (Johnson),7.167,,0.83,0.76,2015-06-25,0,1,0,1,0,0,1.05000e+02,2449565.615000,15.4450,74.799,,,3.78900,3.12500,1204.25787,993.21875,1204.25787,,,,,,JD,,,,,<a refstr=MCARTHUR_ET_AL__2014 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795...41M target=ref>McArthur et al. 2014</a>,2005,<a refstr=VOGT_ET_AL__2005 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005ApJ...632..638V target=ref> Vogt et al. 2005 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,74,33,http://exoplanet.eu/catalog/hd_128311_c/,http://exoplanets.org/detail/HD_128311_c,2005-10,HD 128311,HIP 71395,14.60015564,2.729702,59.837362,213.228910,23.706316,60.53,61.21,16.34,204.400,-250.400,323.200,204.400,-250.400,323.200,-9.60,5.00,K0 V,4.61,,,,,0.960,3.6500,0.700,,28.520,,4,0,1,3,0,4,3,,7.510,8.550,6.880,6.711,5.772,5.303,5.142,5.182,5.026,5.179,5.130,,,,,5.193e+00,3.922e+00,,4.515e+00,3.469e+00,1.184e+00,-9.160e-01,28,,0.940,,,0.469,0.161,0.630,,,,7
351,HD 128356,b,HD 128356 b,Radial Velocity,1,298.20000000,0.870000,0.570000,,0.89000,Msini,,,0,0,0,0,14h37m04.89s,219.270355,-25d48m09.2s,-25.802563,26.03,8.290,V (Johnson),,4875.00,0.65,0.85,2016-11-10,0,1,0,0,0,0,3.34000e+01,,84.2200,36.900,,,,0.89000,,282.86870,282.86870,,,,,,,,,,,<a refstr=JENKINS_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.466..443J target=ref>Jenkins et al. 2017</a>,2016,<a refstr=JENKINS_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.466..443J target=ref>Jenkins et al. 2017</a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,17,16,http://exoplanet.eu/catalog/hd_128356_b/,,,HD 128356,HIP 71481,14.61802368,330.871809,31.275279,224.959091,-9.943193,38.41,,,-19.300,-137.900,139.200,,,,,5.30,K3 V,4.52,-0.444,,0.170,[Fe/H],10.000,1.3000,,,,,1,0,1,0,0,3,0,,8.290,8.960,,,6.549,6.106,5.997,5.959,5.944,6.004,5.937,,,,,,,,,,,,15,,1.017,,,0.443,0.109,0.552,,,,7
352,HD 129445,b,HD 129445 b,Radial Velocity,1,1840.00000000,2.900000,0.700000,,1.60000,Msini,,,0,0,0,0,14h46m03.07s,221.512772,-68d45m45.9s,-68.762749,67.57,8.800,V (Johnson),8.618,,0.99,,2014-05-14,0,1,0,0,0,0,4.29000e+01,2453093.000000,163.0000,,,,,1.60000,,508.50700,508.50700,,,,,,,,,,,<a refstr=ARRIAGADA_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...711.1229A target=ref> Arriagada et al. 2010 </a>,2009,<a refstr=ARRIAGADA_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...711.1229A target=ref> Arriagada et al. 2010 </a>,Ground,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,3,0,15,15,http://exoplanet.eu/catalog/hd_129445_b/,,2010-03,HD 129445,HIP 72203,14.76751811,313.038172,-8.170266,245.348360,-49.435593,14.80,14.80,67.57,-197.800,-57.300,205.900,-197.800,-57.300,205.900,7.50,4.60,G6 V,,,,0.250,[Fe/H],,3.0000,,,,,2,0,1,1,0,3,0,,8.800,9.573,,,7.531,7.243,7.167,7.096,7.151,7.140,7.212,,,,,,,,,,,,14,,0.756,,,0.288,0.076,0.364,0.462,0.284,0.396,9
