"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-04",,"75","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-05",,"62","42"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-06",,"48","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-07",,"38","33"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-08",,"63","39"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-09",,"58","44"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-10",,"46","39"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-11",,"59","37"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-12",,"51","37"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-13",,"55","44"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-14",,"62","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-15",,"50","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-16",,"67","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-17",,"52","37"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-18",,"61","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-19",,"59","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-20",,"41","38"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-21",,"58","39"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-22",,"56","44"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-23",,"55","37"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-24",,"60","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-25",,"52","42"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-26",,"55","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-27",,"50","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-28",,"71","44"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-29",,"62","53"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-04-30",,"58","48"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","1893-05-01",,"48","43"
